Designator,Mid X,Mid Y,Rotation,Layer
1KΩ_22,5.528264,-40.1461,270.0,top
1KΩ_21,18.228264,-40.1461,270.0,top
1KΩ_20,10.622364,-14.5937,90.0,top
1KΩ_19,15.702364,-14.5937,90.0,top
1KΩ_18,5.542364,-14.5937,90.0,top
1KΩ_17,10.608264,-40.1461,270.0,top
1KΩ_16,40.289564,-28.8177,0.0,top
1KΩ_15,18.242364,-14.5937,90.0,top
1KΩ_14,13.148264,-40.1461,270.0,top
1KΩ_13,40.289564,-38.9777,0.0,top
1KΩ_12,20.768264,-40.1461,270.0,top
1KΩ_11,40.289564,-26.2777,0.0,top
1KΩ_10,3.002364,-14.5937,90.0,top
1KΩ_9,13.162364,-14.5937,90.0,top
1KΩ_8,40.289564,-31.3577,0.0,top
1KΩ_7,8.082364,-14.5937,90.0,top
1KΩ_6,40.289564,-33.8977,0.0,top
1KΩ_5,20.782364,-14.5937,90.0,top
1KΩ_4,8.068264,-40.1461,270.0,top
1KΩ_3,40.289564,-36.4377,0.0,top
1KΩ_2,2.988264,-40.1461,270.0,top
1KΩ,15.688264,-40.1461,270.0,top
74HC595_3,14.062664,-8.4977,0.0,top
74HC595_2,9.707964,-46.2421,180.0,top
74HC595,46.385564,-37.338,270.0,top
BARGRAPH10+_2,14.418264,-36.4885,90.0,top
BARGRAPH10+,14.418264,-17.6925,90.0,top
BARGRAPH10-_2,14.418264,-25.3125,90.0,top
BARGRAPH10-,14.418264,-28.8685,90.0,top
BARGRAPH5+,37.329064,-33.9485,180.0,top
BARGRAPH5-,29.709064,-33.9485,0.0,top
C.1Μ_3,46.436364,-43.688,180.0,top
C.1Μ_2,3.637364,-46.228,270.0,top
C.1Μ,21.163364,-8.509,270.0,top
