Designator,Mid X,Mid Y,Rotation,Layer
C.1Μ_2,119.6252,-20.9602,270.0,top
C.1Μ,118.0504,-20.966,270.0,top
C1Μ,121.1528,-20.955,270.0,top
C2.2NF,117.2464,-17.7488,180.0,top
CY8CMBR3116,121.92,-15.748,90.0,top
R220,236.4505,-11.938,0.0,top
R4.7K_2,121.285,-7.112,135.0,top
R4.7K,124.079,-7.112,135.0,top
R560_16,109.5775,-12.7,180.0,top
R560_15,149.352,-20.066,270.0,top
R560_14,89.154,-19.812,270.0,top
R560_13,93.726,-19.812,270.0,top
R560_12,134.2155,-10.414,0.0,top
R560_11,134.2155,-14.986,0.0,top
R560_10,152.4,-20.066,270.0,top
R560_9,109.5775,-14.224,180.0,top
R560_8,92.202,-19.812,270.0,top
R560_7,109.5775,-9.652,180.0,top
R560_6,134.2155,-13.462,0.0,top
R560_5,153.924,-20.066,270.0,top
R560_4,134.2155,-11.938,0.0,top
R560_3,109.5775,-11.176,180.0,top
R560_2,90.678,-19.812,270.0,top
R560,150.876,-20.066,270.0,top
