Designator,Mid X,Mid Y,Rotation,Layer
C.1Μ_2,49.1236,-37.2872,0.0,top
C.1Μ,50.5512,-31.7028,0.0,top
C1Μ,50.546,-30.1752,0.0,top
C2.2NF,45.466,-38.354,0.0,top
CONNECTION,47.0,-15.5,90.0,top
CY8CMBR3116 DIP MODULE PLACEMENT,48.39,-22.0,90.0,top
R4.7K_2,44.2976,-19.4056,0.0,top
R4.7K,40.4368,-25.3492,0.0,top
R560_16,44.6532,-25.4508,90.0,top
R560_15,52.256129,-25.4762,90.0,top
R560_14,49.7332,-25.4762,90.0,top
R560_13,47.176129,-25.4508,90.0,top
R560_12,62.1284,-18.4912,270.0,top
R560_11,54.864,-18.4658,270.0,top
R560_10,57.386929,-18.4658,270.0,top
R560_9,59.944,-18.4912,270.0,top
R560_8,34.4424,-38.2524,90.0,top
R560_7,42.1132,-38.2524,90.0,top
R560_6,39.590271,-38.2524,90.0,top
R560_5,36.965329,-38.2524,90.0,top
R560_4,57.336129,-38.2016,90.0,top
R560_3,54.8132,-38.2016,90.0,top
R560_2,59.8932,-38.227,90.0,top
R560,62.416129,-38.227,90.0,top
REFFC,19.725,-33.75,270.0,top
